restaurant_name,restaurant_location,day_of_the_week,dish_name,preparation_time
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Sushi,14
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,11
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Ichiju-ju,14
Momoya,"(40.7426475, -73.9964607)",Weekend,Sushi,15
Momoya,"(40.7426475, -73.9964607)",Weekend,Nigiri,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Chow Mein,15
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Fish-Flavored Shredded Pork,11
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Yakisoba (noodles saltati),20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
ilili Restaurant,"(40.7443707, -73.98779)",Weekend,Persian Kuku Sabzi,15
ilili Restaurant,"(40.7443707, -73.98779)",Weekend,Hummus,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Tsukemono (sottaceti),16
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Vanessa's Dumpling House,"(40.7182945, -73.9917813)",Weekday,Sweet and Sour Pork Fillet,10
Vanessa's Dumpling House,"(40.7182945, -73.9917813)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Kaiseki,19
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,15
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
TAO,"(40.7625746, -73.9714449)",Weekend,Yakisoba (noodles saltati),16
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Yakitori,14
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sushi,18
ilili Restaurant,"(40.7443707, -73.98779)",Weekend,Hummus,14
ilili Restaurant,"(40.7443707, -73.98779)",Weekend,Hummus,13
Tortaria,"(40.7338759, -73.993044)",Weekend,Enchiladas,17
Tortaria,"(40.7338759, -73.993044)",Weekend,Guacamole,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Tater Tots,10
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Tater Tots,15
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Reuben Sandwich,17
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Buffalo Chicken Wings,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Bareburger,"(40.7431934, -73.9801954)",Weekend,Reuben Sandwich,18
Bareburger,"(40.7431934, -73.9801954)",Weekend,Buffalo Chicken Wings,14
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Pizza,19
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Tater Tots,13
Parm,"(40.7230381, -73.9957182)",Weekday,Rigatoni all'Amatriciana,15
Parm,"(40.7230381, -73.9957182)",Weekday,Rigatoni all'Amatriciana,18
Bareburger,"(40.7431934, -73.9801954)",Weekday,Tater Tots,12
Bareburger,"(40.7431934, -73.9801954)",Weekday,Barbecue Ribs,19
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ragù Bolognese,20
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Parm,"(40.7230381, -73.9957182)",Weekday,Pasta alla Gricia,14
Parm,"(40.7230381, -73.9957182)",Weekday,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Apple Pie,14
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Barbecue Ribs,19
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Rogan Josh,14
Tamarind TriBeCa,"(40.7191453, -74.0089504)",Weekend,Samosa,12
Bubby's ,"(40.7198226, -74.0084234)",Weekday,Chicken Tenders,17
Bubby's ,"(40.7198226, -74.0084234)",Weekday,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Rubirosa,"(40.7227225, -73.9961142)",Weekday,Pasta alla Gricia,16
Rubirosa,"(40.7227225, -73.9961142)",Weekday,Arancini,13
Hatsuhana,"(40.7568939, -73.9769041)",Weekend,Sushi,15
Hatsuhana,"(40.7568939, -73.9769041)",Weekend,Nigiri,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Kung Pao Chicken,15
Han Dynasty,"(40.7875393, -73.9764459)",Weekday,Yangzhou Fried Rice,18
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Ichiju-ju,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Ichiju-ju,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Ichiju-ju,14
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Yakitori,11
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Tsukemono (sottaceti),16
TAO,"(40.7625746, -73.9714449)",Weekend,Sushi,15
TAO,"(40.7625746, -73.9714449)",Weekend,Yakitori,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Sashimi,20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Risotto,16
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Arancini,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Sashimi,20
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Tsukemono (sottaceti),14
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Sashimi,19
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Barbecue Ribs,20
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Yangzhou Fried Rice,17
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Sweet and Sour Pork Fillet,12
Parm,"(40.7230381, -73.9957182)",Weekend,Lasagna,20
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Miso Soup,15
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),16
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Burgers,17
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Zero Otto Nove,"(40.8547264, -73.8884476)",Weekday,Ragù Bolognese,16
Zero Otto Nove,"(40.8547264, -73.8884476)",Weekday,Arancini,13
Bareburger,"(40.7431934, -73.9801954)",Weekday,Reuben Sandwich,16
Bareburger,"(40.7431934, -73.9801954)",Weekday,Hot Dogs,12
TAO,"(40.7625746, -73.9714449)",Weekday,Sushi,20
TAO,"(40.7625746, -73.9714449)",Weekday,Nigiri,12
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Buffalo Chicken Wings,14
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Reuben Sandwich,17
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Burgers,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Burgers,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Ragù Bolognese,18
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Arancini,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Barbecue Ribs,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
ilili Restaurant,"(40.7443707, -73.98779)",Weekday,Falafel,15
ilili Restaurant,"(40.7443707, -73.98779)",Weekday,Hummus,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Reuben Sandwich,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Tater Tots,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Reuben Sandwich,17
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Kaiseki,20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Risotto,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),15
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Ichiju-ju,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Tsukemono (sottaceti),16
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Tater Tots,15
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Tater Tots,13
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,11
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Barbecue Ribs,19
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Kung Pao Chicken,19
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Yakisoba (noodles saltati),18
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Nigiri,12
Dos Caminos,"(40.740579, -74.0054009)",Weekend,Guacamole,11
Dos Caminos,"(40.740579, -74.0054009)",Weekend,Chiles Rellenos,20
Dos Caminos,"(40.740579, -74.0054009)",Weekend,Guacamole,12
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Nigiri,14
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Tempura,15
J. G. Melon,"(40.771073, -73.9593705)",Weekend,Tater Tots,12
J. G. Melon,"(40.771073, -73.9593705)",Weekend,Hot Dogs,12
Mira Sushi,"(40.7197541, -73.8101907)",Weekend,Yakitori,11
Mira Sushi,"(40.7197541, -73.8101907)",Weekend,Kaiseki,20
Mira Sushi,"(40.7197541, -73.8101907)",Weekend,Nigiri,12
TAO,"(40.7625746, -73.9714449)",Weekend,Tempura,14
TAO,"(40.7625746, -73.9714449)",Weekend,Kaiseki,20
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Miso Soup,16
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
L'Express,"(40.7380991, -73.9876326)",Weekday,Salade Niçoise,20
L'Express,"(40.7380991, -73.9876326)",Weekday,Ratatouille,12
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Yakisoba (noodles saltati),16
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Kaiseki,20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Peking Roasted Duck,19
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,14
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Yangzhou Fried Rice,20
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekend,Chow Mein,15
Mamoun's Falafel,"(40.7288007, -73.9885054)",Weekday,Armenian Losh Kebab,18
Mamoun's Falafel,"(40.7288007, -73.9885054)",Weekday,Greek Salad,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Burgers,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,French Fries,15
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean White Bean Soup,13
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Greek Salad,13
Parm,"(40.7230381, -73.9957182)",Weekday,Risotto,16
Parm,"(40.7230381, -73.9957182)",Weekday,Arancini,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Reuben Sandwich,17
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sashimi,20
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Yakitori,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Barbecue Ribs,17
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Chicken Tenders,18
S'MAC,"(40.7301897, -73.9836385)",Weekend,Burgers,16
S'MAC,"(40.7301897, -73.9836385)",Weekend,Hot Dogs,12
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekday,Burgers,19
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekday,French Fries,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Chicken Tenders,17
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Ragù Bolognese,18
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Spaghetti con Salsa di Pomodoro,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Hot Dogs,13
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Chicken Tenders,18
Junoon,"(40.7431207, -73.9909146)",Weekday,Rogan Josh,16
Junoon,"(40.7431207, -73.9909146)",Weekday,Samosa,12
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Sashimi,20
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Parm,"(40.7230381, -73.9957182)",Weekday,Lasagna,18
Parm,"(40.7230381, -73.9957182)",Weekday,Arancini,13
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean Falafel Bowls,12
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Mediterranean Grilled Chicken + Dill Greek Yogurt Sauce,20
Jack's Wife Freda,"(40.7298568, -74.0035384)",Weekend,Greek Salad,13
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekend,Pizza,16
Sarabeth's Restaurant,"(40.7652199, -73.9755591)",Weekend,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,10
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Chicken Tenders,18
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,French Fries,17
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Tsukemono (sottaceti),17
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Sushi,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,French Fries,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Kung Pao Chicken,17
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Burgers,13
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),15
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tempura,15
TAO,"(40.7625746, -73.9714449)",Weekend,Tsukemono (sottaceti),18
TAO,"(40.7625746, -73.9714449)",Weekend,Nigiri,12
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Tater Tots,15
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Hot Dogs,12
Dos Caminos Soho,"(40.7266689, -73.9999718)",Weekday,Pozole,20
Dos Caminos Soho,"(40.7266689, -73.9999718)",Weekday,Guacamole,12
Parm,"(40.7230381, -73.9957182)",Weekend,Spaghetti con Salsa di Pomodoro,17
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Saravanaa Bhavan,"(40.7414379, -73.9831543)",Weekday,Tandoori Chicken,18
Saravanaa Bhavan,"(40.7414379, -73.9831543)",Weekday,Butter Chicken,15
Go! Go! Curry!,"(40.8154849, -73.957853)",Weekend,Sashimi,17
Go! Go! Curry!,"(40.8154849, -73.957853)",Weekend,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Kaiseki,18
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
J. G. Melon,"(40.771073, -73.9593705)",Weekend,Reuben Sandwich,18
J. G. Melon,"(40.771073, -73.9593705)",Weekend,Buffalo Chicken Wings,14
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Pasta alla Gricia,16
The Meatball Shop,"(40.7651951, -73.9874674)",Weekend,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Tempura,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Biryani,19
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Samosa,12
TAO,"(40.7625746, -73.9714449)",Weekend,Ichiju-ju,15
TAO,"(40.7625746, -73.9714449)",Weekend,Kaiseki,20
Hot Kitchen,"(40.7569712, -73.967446)",Weekend,Peking Roasted Duck,20
Hot Kitchen,"(40.7569712, -73.967446)",Weekend,Sweet and Sour Pork Fillet,12
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Risotto,19
Rubirosa,"(40.7227225, -73.9961142)",Weekend,Arancini,13
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Baba Ghannouj,18
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Hummus,13
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Tater Tots,11
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekday,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Tater Tots,11
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
Serafina Fabulous Pizza,"(40.7761311, -73.9624593)",Weekday,Pasta Carbonara,13
Serafina Fabulous Pizza,"(40.7761311, -73.9624593)",Weekday,Pizza,20
Serafina Fabulous Pizza,"(40.7761311, -73.9624593)",Weekday,Arancini,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tsukemono (sottaceti),17
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Sushi,18
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Pizza,19
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Hot Dogs,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Peking Roasted Duck,20
Xi'an Famous Foods,"(40.7401797, -74.0019721)",Weekend,Dumplings,15
Xi'an Famous Foods,"(40.7401797, -74.0019721)",Weekend,Kung Pao Chicken,17
Tony's Di Napoli,"(40.7563915, -73.9854253)",Weekend,Ragù Bolognese,16
Tony's Di Napoli,"(40.7563915, -73.9854253)",Weekend,Ossobuco,19
Lantern Thai Kitchen,"(40.6952526, -73.9954766)",Weekend,Thai Fried Rice,10
Lantern Thai Kitchen,"(40.6952526, -73.9954766)",Weekend,Massaman Curry,20
Lantern Thai Kitchen,"(40.6952526, -73.9954766)",Weekend,Thai Fried Rice,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork,17
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork Fillet,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Reuben Sandwich,17
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Buffalo Chicken Wings,14
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
Shake Shack,"(40.7513742, -73.9878729)",Weekday,Hot Dogs,12
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekend,French Fries,17
P.J. Clarke's,"(40.7589826, -73.9682301)",Weekend,Buffalo Chicken Wings,14
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Yakisoba (noodles saltati),16
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Nigiri,12
Tony's Di Napoli,"(40.7563915, -73.9854253)",Weekend,Risotto,16
Tony's Di Napoli,"(40.7563915, -73.9854253)",Weekend,Ossobuco,19
Westville Hudson,"(40.7272539, -74.0075081)",Weekend,Burgers,16
Westville Hudson,"(40.7272539, -74.0075081)",Weekend,Hot Dogs,12
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Chaat,11
The Kati Roll Company,"(40.7526965, -73.9846551)",Weekend,Tandoori Chicken,19
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork,15
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,12
Parm,"(40.7230381, -73.9957182)",Weekend,Ragù Bolognese,15
Parm,"(40.7230381, -73.9957182)",Weekend,Ragù Bolognese,17
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Buffalo Chicken Wings,15
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Pizza,20
12 Chairs,"(40.7275501, -74.0024076)",Weekday,Baba Ghannouj,13
12 Chairs,"(40.7275501, -74.0024076)",Weekday,Beef Dolmas with Apricots and Tamarind,14
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Tempura,16
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Kanoyama,"(40.7305655, -73.9864902)",Weekday,Ichiju-ju,12
Kanoyama,"(40.7305655, -73.9864902)",Weekday,Yakisoba (noodles saltati),17
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Parm,"(40.7230381, -73.9957182)",Weekend,Pizza,19
Parm,"(40.7230381, -73.9957182)",Weekend,Arancini,13
Westville Hudson,"(40.7272539, -74.0075081)",Weekend,Pizza,19
Westville Hudson,"(40.7272539, -74.0075081)",Weekend,French Fries,15
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Risotto,19
The Meatball Shop,"(40.7651951, -73.9874674)",Weekday,Arancini,13
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork,15
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Sweet and Sour Pork Fillet,12
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Yakisoba (noodles saltati),15
Sushi of Gari Tribeca,"(40.7167674, -74.0084565)",Weekend,Nigiri,12
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork Fillet,10
RedFarm Broadway,"(40.7820656, -73.9806368)",Weekday,Sweet and Sour Pork,14
12 Chairs,"(40.7275501, -74.0024076)",Weekend,Persian Kuku Sabzi,16
12 Chairs,"(40.7275501, -74.0024076)",Weekend,Hummus,13
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Yakisoba (noodles saltati),15
Blue Ribbon Sushi Bar & Grill,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,15
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Miso Soup,14
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Ichiju-ju,15
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekend,Nigiri,12
TAO,"(40.7625746, -73.9714449)",Weekday,Nigiri,13
TAO,"(40.7625746, -73.9714449)",Weekday,Nigiri,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Barbecue Ribs,18
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Reuben Sandwich,17
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Sashimi,18
Sushi of Gari 46,"(40.7606902, -73.9895916)",Weekend,Ichiju-ju,14
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Kung Pao Chicken,19
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,12
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Tater Tots,14
Blue Ribbon Fried Chicken,"(40.7244607, -73.9909251)",Weekend,Pizza,20
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Kung Pao Chicken,17
Han Dynasty,"(40.7875393, -73.9764459)",Weekend,Sweet and Sour Pork Fillet,12
brgr,"(40.7461296, -73.9939142)",Weekday,Burgers,14
brgr,"(40.7461296, -73.9939142)",Weekday,Hot Dogs,12
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Jewelled rice,20
Cafe Mogador,"(40.7273469, -73.984402)",Weekend,Hummus,13
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Ichiju-ju,14
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Sashimi,19
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Miso Soup,12
Sushi of Gari,"(40.7713448, -73.95278)",Weekend,Nigiri,12
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Pizza,20
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Tater Tots,13
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Ichiju-ju,12
Blue Ribbon Sushi,"(40.7079524, -74.0078296)",Weekday,Nigiri,12
Vanessa's Dumpling House,"(40.7182945, -73.9917813)",Weekend,Congee,17
Vanessa's Dumpling House,"(40.7182945, -73.9917813)",Weekend,Sweet and Sour Pork,14
Shake Shack,"(40.7513742, -73.9878729)",Weekend,French Fries,19
Shake Shack,"(40.7513742, -73.9878729)",Weekend,Hot Dogs,12
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Congee,17
RedFarm Hudson,"(40.7341879, -74.0064162)",Weekend,Fish-Flavored Shredded Pork,13
